epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,451.473,4.40575,28.603,2.77528,0,0,0,0,3.28215,6.83633,2.08797,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012,0.00036,0.00012
2,853.706,4.24409,23.2342,2.32042,0,0,0,0,3.13013,6.49369,1.98227,0.000764556,0.000254852,0.000764556,0.000254852,0.000764556,0.000254852,0.000764556,0.000254852
3,1094.87,3.28864,12.6724,1.70993,0,0,0,0,3.15073,6.15277,1.88803,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416,0.00115248,0.00038416
4,1261.92,2.82295,13.7376,1.41451,0,0,0,0,3.09553,5.83881,1.78788,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924,0.00152377,0.000507924
5,1452.42,2.72587,12.8391,1.16509,0,0,0,0,2.94821,5.56028,1.59475,0.00187843,0.000626144,0.00187843,0.000626144,0.00187843,0.000626144,0.00187843,0.000626144
6,1610.63,2.62718,10.7194,1.23532,0,0,0,0,2.71117,5.31046,1.44764,0.00221646,0.00073882,0.00221646,0.00073882,0.00221646,0.00073882,0.00221646,0.00073882
7,1801.28,2.43883,8.95693,1.14984,0.0002,0.03571,0.00011,4e-05,2.47845,5.09992,1.34496,0.00253786,0.000845952,0.00253786,0.000845952,0.00253786,0.000845952,0.00253786,0.000845952
8,1946.26,2.47875,10.1239,1.11735,0.0002,0.03571,0.00011,5e-05,2.42352,5.03261,1.2939,0.00284262,0.00094754,0.00284262,0.00094754,0.00284262,0.00094754,0.00284262,0.00094754
9,2095.37,2.38327,7.62309,1.02495,0.00047,0.08333,0.00026,0.0001,2.42153,4.78301,1.25969,0.00313075,0.00104358,0.00313075,0.00104358,0.00313075,0.00104358,0.00313075,0.00104358
10,2191.23,2.42184,7.85032,1.07351,0.0012,0.21429,0.00078,0.00024,2.44223,4.63668,1.25136,0.00340225,0.00113408,0.00340225,0.00113408,0.00340225,0.00113408,0.00340225,0.00113408
11,2284.14,2.23376,5.56549,1.08817,0.0022,0.39286,0.0284,0.01196,2.41397,4.39674,1.24485,0.00365712,0.00121904,0.00365712,0.00121904,0.00365712,0.00121904,0.00365712,0.00121904
12,2440.65,2.43533,5.83382,1.0542,0.62351,0.11834,0.14682,0.04421,2.46808,4.17922,1.25798,0.00389536,0.00129845,0.00389536,0.00129845,0.00389536,0.00129845,0.00389536,0.00129845
